ubicacion;modelo_nombre;host;sisOperativo;arquitectura;ram;Memoria RAM;RAM Tipo;almacenamiento;D.D Capacidad;HDD/SSD;procesador;serial;macEthernet;macWifi;sapVersion;estado;officeVersion
Terminacion;Pro 3500 Series MT;opmelamina-dsk;Windows 10 Pro;x64;4 GB DDR3;4 GB;DDR3;C: 111.79 GB SSD;C: 111.79 GB;SSD;Intel(R) Pentium(R) CPU G620 @ 2.60GHz;MXL32605SG;88:51:FB:57:63:3F;No Aplica;7.70;Resguardo;2013
Terminacion;Pro 3500 Series MT;operbptfive-dsk;Windows 10 Pro;x64;4 GB DDR3;4 GB;DDR3;C: 223.57 GB SSD;C: 223.57 GB;SSD;Intel(R) Pentium(R) CPU G640 @ 2.80GHz;MXL2412BBV;24:BE:05:15:08:F7;No Aplica;7.70;Resguardo;2013
Terminacion;Pro 3500 Series MT;rebptfive-dsk;Windows 10 Pro;x64;4 GB DDR3;4 GB;DDR3;C: 223.57 GB SSD;C: 223.57 GB;SSD;Intel(R) Pentium(R) CPU G640 @ 2.80GHz;MXL23714SQ;24:BE:05:0A:52:DD;No Aplica;7.70;Resguardo;2013
Andinos Cabina Secado;Pro 3500 Series MT;opersecado-dsk;Windows 7 Ultimate;x64;4 GB DDR3;4 GB;DDR3;C: 465.76 GB HDD;C: 465.76 GB;HDD;Intel(R) Pentium(R) CPU G645 @ 2.90GHz;MXL3160FTC;6C:3B:E5:2C:72:46;No Aplica;7.40;Resguardo;2013
Edificio 4;Pro 3500 Series MT;nzapata-dsk;Windows 8.1 Pro;x64;4 GB DDR3;4 GB;DDR3;C: 465.76 GB HDD;C: 465.76 GB;HDD;Intel(R) Pentium(R) CPU G645 @ 2.90GHz;MXL3160FTK;6C:3B:E5:2C:72:3E;No aplica;7.70;Resguardo;2013
Edificio 1;Pro 3500 Series MT;mrodriguezg-dsk;Windows 10 Pro;x64;4 GB DDR3;4 GB;DDR3;C: 465.76 GB HDD;C: 465.76 GB;HDD;Intel(R) Pentium(R) CPU G640 @ 2.80GHz;MXL2412B1N;No Aplica;No Aplica;7.70;Resguardo;2013
Laboratorio FM;Pro 3500 Series MT;labfm-dsk;Windows 7 Professional;x64;4 GB DDR3;4 GB;DDR3;C: 465.76 GB HDD;C: 465.76 GB;HDD;Intel(R) Pentium(R) CPU G640 @ 2.80GHz;MXL23714TM;24be05089c7e;No aplica;7.40;Resguardo;2013
Sala de Control Astillado;Pro 3500 Series MT;astillaux-dsk;Windows 7 Professional;x64;2 GB DDR3;2 GB;DDR3;C: 465.76 GB HDD;C: 465.76 GB;HDD;Intel(R) Pentium(R) CPU G640 @ 2.80GHz;MXL2412BC2;24be05150911;no aplica;7.40;Resguardo;2013
Sala de Control Astillado;Pro 3500 Series MT;CVVILLALBA-DSK;Windows 7 Professional;x32;2 GB DDR3;2 GB;DDR3;C: 465.76 GB HDD;C: 465.76 GB;HDD;Intel(R) Pentium(R) CPU G640 @ 2.80GHz;MXL2370FT9;24be05031e5d;no aplica;7.40;Resguardo;2013
Sala de Control Astillado;Pro 3500 Series MT;jortiz-dsk;Windows 8.1 Pro;x64;4 GB DDR3;4 GB;DDR3;C: 465.76 GB HDD;C: 465.76 GB;HDD;Intel(R) Pentium(R) CPU G640 @ 2.80GHz  ;MXL2412B1Q    ;24BE05150688;No Aplica;7.70;Resguardo;2013
Sala de Control Astillado;Pro 3500 Series MT;opastillado2-dsk;Windows 8.1 Pro;x64;2 GB DDR3;2 GB;DDR3;C: 465.76 GB HDD;C: 465.76 GB;HDD;Intel(R) Pentium(R) CPU G640 @ 2.80GHz  ;MXL2412BBP    ;24BE050AFDC8;No Aplica;7.70;Resguardo;2013
Edificio 1;Pro 3500 Series MT;FORESTAL2-DSK;Windows 7 Professional;x32;2 GB DDR3;2 GB;DDR3;C:, D: 465.76 GB HDD;C:, D: 465.76 GB;HDD;Intel(R) Pentium(R) CPU G640 @ 2.80GHz;MXL2412BBY;No Aplica;No Aplica;7.40;Resguardo;2013
Mantenimiento ANVE;Pro 3500 Series MT;ltiapa-dsk;Windows 7 Professional;x32;2 GB DDR3;2 GB;DDR3;C:, D: 465.76 GB HDD;C:, D: 465.76 GB;HDD;Intel(R) Pentium(R) CPU G640 @ 2.80GHz;MXL2412BC0;No Aplica;No Aplica;7.40;Resguardo;2013
Edificio 2 Planificación y Mantenimiento FIVE;Pro 3500 Series MT;pfive04-dsk;Windows 7 Professional;x64;4 GB DDR3;4 GB;DDR3; HDD;;HDD;Intel(R) Pentium(R) CPU G640 @ 2.80GHz  ;MXL2412B0X    ;;No Aplica;7.70;Resguardo;2013
Edificio 2 Planificación y Mantenimiento FIVE;Pro 3500 Series MT;pfive03-dsk;Windows 7 Professional;x64;2 GB DDR3;2 GB;DDR3; HDD;;HDD;Intel(R) Pentium(R) CPU G640 @ 2.80GHz  ;MXL2412B0N    ;;No Aplica;7.70;Resguardo;2013
Edificio 1 Oficina Mtto Mecanico;Pro 3500 Series MT;mttomeca03-dsk;Windows 7 Professional ;x32; DDR3;;DDR3; HDD;;HDD;;;;;;Resguardo;
Edificio 1 Oficina Mtto Electrico;Pro 3500 Series MT;mttoelec2-dsk;Windows 7 Professional ;x64; DDR3;;DDR3; HDD;;HDD;;;;;;Resguardo;
Andinos Cabina Secado;Pro 3500 Series MT;OPEPEANVE-DSK;Windows 7 Ultimate;x32;4 GB DDR3;4 GB;DDR3;C:, D: 465.76 GB HDD;C:, D: 465.76 GB;HDD;Intel(R) Pentium(R) CPU G2120 @ 3.10GHz;MXL32111P0;No Aplica;No Aplica;7.40;Resguardo;2013
Edificio 1;ProDesk 400 G3 SFF;BCK-MAVEMCPHV02;Windows 10 Pro;x64;8 GB DDR4;8 GB;DDR4;C:, D: 931.51 GB HDD;C:, D: 931.51 GB;HDD;Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz;MXL70516W9;No Aplica;No Aplica;7.70;Resguardo;2013
Edificio 1;ProDesk 400 G3 SFF;esomoza-dsk;Windows 10 Pro;x64;4 GB DDR4;4 GB;DDR4;C: 931.51 GB HDD;C: 931.51 GB;HDD;Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz;MXL70516YQ;No Aplica;No Aplica;7.70;Resguardo;2013
Edificio 2;Vostro 3268;pmttoanve-dsk;Windows 10 Pro;x64;4 GB Error: Command 'wmic memorychip get MemoryType' returned non-zero exit status 1.;4 GB;Error: Command 'wmic memorychip get MemoryType' returned non-zero exit status 1.;C: 465.76 GB HDD;C: 465.76 GB;HDD;Intel(R) Core(TM) i5-7400 CPU @ 3.00GHz;4C7NJK2;No Aplica;No Aplica;7.70;Resguardo;2013
Edificio 1;Clon;ssgomez-dsk;Windows 8.1 Pro;x64; ;;; HDD;;HDD;;;;;;Resguardo;
Edificio 1;B40-80;argisforest-nbk;Windows 8.1 Pro;x64;6 GB ;6 GB;;C: 465.76 GB HDD;C: 465.76 GB;HDD;Intel(R) Core(TM) i3-4030U CPU @ 1.90GHz;1,05E+13;No Aplica;No APlica;7.70;Resguardo;2013
